,Month,State,Median_Ann_Income
0,2014-05,AL,30850
1,2014-05,AK,45200
2,2014-05,AZ,34230
3,2014-05,AR,29140
4,2014-05,CA,39190
5,2014-05,CO,38020
6,2014-05,CT,42990
7,2014-05,DE,37490
8,2014-05,DC,64890
9,2014-05,FL,31060
10,2014-05,GA,32840
11,2014-05,HI,37450
12,2014-05,ID,31060
13,2014-05,IL,36590
14,2014-05,IN,32500
15,2014-05,IA,33100
16,2014-05,KS,32930
17,2014-05,KY,31830
18,2014-05,LA,31620
19,2014-05,ME,33890
20,2014-05,MD,40830
21,2014-05,MA,44670
22,2014-05,MI,34740
23,2014-05,MN,38070
24,2014-05,MS,28630
25,2014-05,MO,32790
26,2014-05,MT,31520
27,2014-05,NE,32570
28,2014-05,NV,33550
29,2014-05,NH,36420
30,2014-05,NJ,40680
31,2014-05,NM,31810
32,2014-05,NY,40870
33,2014-05,NC,32510
34,2014-05,ND,36920
35,2014-05,OH,34250
36,2014-05,OK,31550
37,2014-05,OR,36400
38,2014-05,PA,35640
39,2014-05,RI,38330
40,2014-05,SC,30660
41,2014-05,SD,29880
42,2014-05,TN,31250
43,2014-05,TX,33650
44,2014-05,UT,33690
45,2014-05,VT,36170
46,2014-05,VA,37550
47,2014-05,WA,41090
48,2014-05,WV,29410
49,2014-05,WI,34350
50,2014-05,WY,37770
51,2014-05,GU,25730
52,2014-05,PR,19590
53,2014-05,VI,27780
54,2015-05,AL,31550
55,2015-05,AK,46420
56,2015-05,AZ,34680
57,2015-05,AR,29420
58,2015-05,CA,39830
59,2015-05,CO,38800
60,2015-05,CT,43830
61,2015-05,DE,37750
62,2015-05,DC,66040
63,2015-05,FL,31810
64,2015-05,GA,33430
65,2015-05,HI,38750
66,2015-05,ID,31860
67,2015-05,IL,37320
68,2015-05,IN,32910
69,2015-05,IA,33650
70,2015-05,KS,33700
71,2015-05,KY,32340
72,2015-05,LA,31980
73,2015-05,ME,34710
74,2015-05,MD,41860
75,2015-05,MA,45580
76,2015-05,MI,35400
77,2015-05,MN,38870
78,2015-05,MS,29000
79,2015-05,MO,33380
80,2015-05,MT,31970
81,2015-05,NE,33840
82,2015-05,NV,33700
83,2015-05,NH,37280
84,2015-05,NJ,41320
85,2015-05,NM,32320
86,2015-05,NY,41600
87,2015-05,NC,33100
88,2015-05,ND,38170
89,2015-05,OH,35030
90,2015-05,OK,32430
91,2015-05,OR,37080
92,2015-05,PA,36150
93,2015-05,RI,39050
94,2015-05,SC,31280
95,2015-05,SD,30780
96,2015-05,TN,31820
97,2015-05,TX,34550
98,2015-05,UT,33990
99,2015-05,VT,37040
100,2015-05,VA,38180
101,2015-05,WA,42190
102,2015-05,WV,30240
103,2015-05,WI,35110
104,2015-05,WY,38280
105,2015-05,GU,26280
106,2015-05,PR,20000
107,2015-05,VI,27750
108,2016-05,AL,32100
109,2016-05,AK,47170
110,2016-05,AZ,35470
111,2016-05,AR,30130
112,2016-05,CA,40920
113,2016-05,CO,39710
114,2016-05,CT,45090
115,2016-05,DE,37960
116,2016-05,DC,67870
117,2016-05,FL,32790
118,2016-05,GA,34330
119,2016-05,HI,40030
120,2016-05,ID,32800
121,2016-05,IL,38270
122,2016-05,IN,33790
123,2016-05,IA,34790
124,2016-05,KS,34460
125,2016-05,KY,33190
126,2016-05,LA,32080
127,2016-05,ME,35380
128,2016-05,MD,43010
129,2016-05,MA,46690
130,2016-05,MI,36030
131,2016-05,MN,40100
132,2016-05,MS,29590
133,2016-05,MO,34230
134,2016-05,MT,32750
135,2016-05,NE,34890
136,2016-05,NV,34510
137,2016-05,NH,38270
138,2016-05,NJ,41950
139,2016-05,NM,32900
140,2016-05,NY,42760
141,2016-05,NC,33920
142,2016-05,ND,39160
143,2016-05,OH,35760
144,2016-05,OK,33140
145,2016-05,OR,37990
146,2016-05,PA,36680
147,2016-05,RI,39730
148,2016-05,SC,32140
149,2016-05,SD,31590
150,2016-05,TN,32800
151,2016-05,TX,35480
152,2016-05,UT,35010
153,2016-05,VT,37920
154,2016-05,VA,39070
155,2016-05,WA,43400
156,2016-05,WV,30760
157,2016-05,WI,36250
158,2016-05,WY,38710
159,2016-05,GU,26570
160,2016-05,PR,20240
161,2016-05,VI,29420
162,2017-05,AL,32800
163,2017-05,AK,47560
164,2017-05,AZ,36270
165,2017-05,AR,30810
166,2017-05,CA,40980
167,2017-05,CO,40880
168,2017-05,CT,45870
169,2017-05,DE,38850
170,2017-05,DC,70340
171,2017-05,FL,33420
172,2017-05,GA,35040
173,2017-05,HI,41650
174,2017-05,ID,33250
175,2017-05,IL,38870
176,2017-05,IN,34590
177,2017-05,IA,35930
178,2017-05,KS,35150
179,2017-05,KY,33790
180,2017-05,LA,32490
181,2017-05,ME,36210
182,2017-05,MD,43840
183,2017-05,MA,47440
184,2017-05,MI,36650
185,2017-05,MN,41260
186,2017-05,MS,30070
187,2017-05,MO,35050
188,2017-05,MT,33840
189,2017-05,NE,36130
190,2017-05,NV,34930
191,2017-05,NH,38900
192,2017-05,NJ,42500
193,2017-05,NM,33450
194,2017-05,NY,43690
195,2017-05,NC,34750
196,2017-05,ND,40040
197,2017-05,OH,36500
198,2017-05,OK,33630
199,2017-05,OR,38840
200,2017-05,PA,37540
201,2017-05,RI,40450
202,2017-05,SC,32780
203,2017-05,SD,32340
204,2017-05,TN,33860
205,2017-05,TX,36170
206,2017-05,UT,35650
207,2017-05,VT,38640
208,2017-05,VA,39800
209,2017-05,WA,44440
210,2017-05,WV,31540
211,2017-05,WI,37040
212,2017-05,WY,39120
213,2017-05,GU,27030
214,2017-05,PR,20300
215,2017-05,VI,30670
216,2018-05,AL,33740
217,2018-05,AK,48020
218,2018-05,AZ,37020
219,2018-05,AR,31850
220,2018-05,CA,42430
221,2018-05,CO,42310
222,2018-05,CT,46920
223,2018-05,DE,39900
224,2018-05,DC,71690
225,2018-05,FL,34560
226,2018-05,GA,35950
227,2018-05,HI,42480
228,2018-05,ID,34260
229,2018-05,IL,39950
230,2018-05,IN,35730
231,2018-05,IA,37100
232,2018-05,KS,35950
233,2018-05,KY,34650
234,2018-05,LA,33390
235,2018-05,ME,37120
236,2018-05,MD,44690
237,2018-05,MA,48680
238,2018-05,MI,37620
239,2018-05,MN,42630
240,2018-05,MS,30580
241,2018-05,MO,36040
242,2018-05,MT,35080
243,2018-05,NE,37130
244,2018-05,NV,35550
245,2018-05,NH,39870
246,2018-05,NJ,43600
247,2018-05,NM,34120
248,2018-05,NY,44990
249,2018-05,NC,35750
250,2018-05,ND,41340
251,2018-05,OH,37360
252,2018-05,OK,34560
253,2018-05,OR,39580
254,2018-05,PA,38450
255,2018-05,RI,42040
256,2018-05,SC,33750
257,2018-05,SD,33450
258,2018-05,TN,34890
259,2018-05,TX,37100
260,2018-05,UT,36790
261,2018-05,VT,39720
262,2018-05,VA,40820
263,2018-05,WA,46100
264,2018-05,WV,32640
265,2018-05,WI,37970
266,2018-05,WY,40240
267,2018-05,GU,27040
268,2018-05,PR,20830
269,2018-05,VI,33390
270,2019-05,Alabama,34800
271,2019-05,Alaska,48540
272,2019-05,Arizona,38410
273,2019-05,Arkansas,32940
274,2019-05,California,44180
275,2019-05,Colorado,44250
276,2019-05,Connecticut,48530
277,2019-05,Delaware,40900
278,2019-05,District of Columbia,74340
279,2019-05,Florida,35850
280,2019-05,Georgia,36930
281,2019-05,Hawaii,44400
282,2019-05,Idaho,35360
283,2019-05,Illinois,41060
284,2019-05,Indiana,36960
285,2019-05,Iowa,38280
286,2019-05,Kansas,37010
287,2019-05,Kentucky,35540
288,2019-05,Louisiana,34650
289,2019-05,Maine,38370
290,2019-05,Maryland,45970
291,2019-05,Massachusetts,50200
292,2019-05,Michigan,38680
293,2019-05,Minnesota,44110
294,2019-05,Mississippi,31210
295,2019-05,Missouri,37180
296,2019-05,Montana,36420
297,2019-05,Nebraska,38390
298,2019-05,Nevada,36410
299,2019-05,New Hampshire,41490
300,2019-05,New Jersey,45000
301,2019-05,New Mexico,35420
302,2019-05,New York,46680
303,2019-05,North Carolina,36910
304,2019-05,North Dakota,42510
305,2019-05,Ohio,38560
306,2019-05,Oklahoma,35730
307,2019-05,Oregon,41250
308,2019-05,Pennsylvania,39490
309,2019-05,Rhode Island,44170
310,2019-05,South Carolina,34690
311,2019-05,South Dakota,34750
312,2019-05,Tennessee,35910
313,2019-05,Texas,38010
314,2019-05,Utah,37910
315,2019-05,Vermont,40920
316,2019-05,Virginia,42220
317,2019-05,Washington,48140
318,2019-05,West Virginia,33920
319,2019-05,Wisconsin,39090
320,2019-05,Wyoming,41650
